vOTU,CK_7,CK_14,CK_24,N_0.5_5,N_0.5_10,N_0.5_15,N_1_6,N_1_9,N_1_13,SS_0.5_4,SS_0.5_12,SS_0.5_18,SS_1_2,SS_1_20,SS_1_22,SS_2_1,SS_2_17,SS_2_21,SS_4_11,SS_4_16,SS_4_19,CM_1_3,CM_1_8,CM_1_23
0.5N_k141_1130708,0,0,0.000000112,0,0,0.00000904,0.00000029,0.00000136,0.000000094,0,0.00000066,5.87E-08,0,0.000000022,2.34E-08,0,5.34E-08,1.89E-08,0,0,0,0,2.41E-08,0.000000578
4SS_k141_1304121,0,0,0.000000456,2.09E-08,0,0,2.22E-08,0,0.000000108,0,0,0,4.62E-08,1.52E-08,0.00000312,0.00000121,4.41E-08,0,1.96E-08,0.0000303,0.000000441,0,1.66E-08,0.000000347
0.5S_k141_3631614,0.000000119,0,7.97E-09,0.00000069,0.00000118,0.000000153,4.81E-08,1.21E-08,4.67E-08,0.0000327,0.000000477,0.00000014,0.00000424,0.0000007,0.000000268,0.00000117,0.000000345,0.000000188,5.66E-08,0.000000432,0.000000209,0.00000663,0.00000124,7.99E-08
4SS_k141_2740504,0,1.09E-08,0,2.48E-08,0,1.21E-09,0,0,0,8.73E-09,4.44E-09,0,0,3.52E-09,0,0,2.01E-08,0,0.0000226,0,0.000000247,4.06E-09,0.00000221,0.000000315
1SS_k141_799572,2.01E-08,0.000000112,0.000000043,0.000000118,0.000000031,0.000000251,6.49E-08,1.03E-08,0.000000147,0.0000037,9.13E-08,0.00000037,0.0000172,0.000000177,0.00000726,9.97E-08,0.00000038,0.000000263,3.82E-08,0.000000328,4.47E-08,0.00000623,0.000000162,0.000000848
2SS_k141_175109,0,0,0,0,0.000000174,0.000000116,0,0,0,0,0.00000157,0.000000884,0,0.00000408,0.000000343,0.00000103,0.00000301,0.00000537,0.0000369,0.00000824,0.00000375,0,0.00000136,0.000000786
1CM_k141_647016,0,0,0,0,0,0,0,0,0,0,0.000000129,0,0,0,0,0.00000163,0.00000111,0,0.00000122,0.00000298,0.000000314,0.00000549,0,0
0.5S_k141_980831,0,0,0,0,0,0,0,0,0,0.00000797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1N_k141_1786164,0,0,0,0,0,2.29E-08,0.0000124,1.14E-08,0.000000653,0,0.00000248,0.0000041,0,0,0.00000288,0,0.00000372,0.00000045,0,0,0.000000544,0,0.00000111,0.00000108
SS_k141_149349,1.83E-08,2.55E-08,0,9.28E-09,0,4.72E-09,3.68E-08,7.03E-09,7.53E-09,8.17E-09,8.31E-09,1.44E-08,1.37E-08,6.73E-09,2.86E-08,2.44E-08,2.23E-08,1.15E-08,1.74E-08,0,0,1.15E-08,0,4.91E-09
1N_k141_636475,9.46E-08,0,0,0.000000432,0.000009,0.000000642,0.000000712,0.000000536,0.0000173,8.44E-08,0.00000318,0.000000693,0.000000606,0.00000128,0.000000443,0.00000382,6.36E-08,0.0000013,0.000000718,0.00000227,0.00000367,4.76E-08,0.00000305,0.000000297
1CM_k141_1511081,2.01E-08,0.00000157,0.00000308,0.000000175,0.00000106,0.00000835,0.0000112,0.000000527,0.00000109,0.000000798,0.00000621,0.000000814,0.000000539,0.00000143,0.0000023,0.00000162,0.00000209,0.000000431,0.00000175,0.00000101,0.00000188,0.00000309,0.00000564,0.00000153
2SS_k141_1865148,8.23E-08,0.00000262,0.00000587,0.00000177,0.00000133,0.0000134,0.0000149,0.000000226,0.00000108,0.00000165,0.0000102,0.00000141,0.000000514,0.00000131,0.00000379,0.00000281,0.00000276,0.00000127,0.00000233,0.00000227,0.00000356,0.00000301,0.00000799,0.00000133
4SS_k141_461945,0,0,0.000000186,2.48E-08,0,0.000000386,1.31E-08,0.000000351,0.00000094,2.72E-08,0.00000073,0.000000278,0.00000136,0.00000053,8.94E-08,0.000000186,0.0000001,0.00000189,0.000000249,0.0000104,0.0000113,0.00000011,0.0000012,0.00000164
CK_k141_252371,0.000000416,0.000000231,0.0000121,7.66E-08,0,7.77E-08,0,5.81E-08,3.95E-08,0,0.000000343,0.000000104,0.000000254,0.000000153,0.000000158,2.88E-08,0,2.38E-08,3.59E-08,0,6.29E-08,0.00000019,3.04E-08,8.11E-08
2SS_k141_111207,3.28E-08,0.000000289,0.000000994,0.00000423,0.00000314,0.00000632,0.0000476,0.00000202,0.0000141,0.00000453,0.0000102,0.00000113,0.000000907,0.00000719,0.00000954,0.000000137,0.0000303,0.0000195,0.00000903,0.000000844,0.00000105,0.00000617,0.000000366,0.0000113
4SS_k141_78674,0,0,0,0,0,0.00000234,0,0,0,0,0,0,0,0,0,0,0.000000954,0.000000179,0.00000623,0,0,0,0,0
4SS_k141_2896597,0,0,0,0,0.000000119,3.16E-08,5.55E-08,0,4.28E-08,0,5.85E-08,2.02E-08,2.83E-09,3.79E-08,0,0,0,0,0.0000429,2.34E-08,1.43E-08,2.59E-08,0,0
CK_k141_659218,0.0000169,0.00000484,0.00000465,2.03E-08,2.34E-08,0.000000507,0.00000159,0.000000272,4.19E-08,0,3.63E-08,0.000000233,0,0.000000235,0.00000124,0.00000234,0.00000039,0,0.000000038,0,2.22E-08,4.06E-08,0.000000392,0.000000433
0.5S_k141_603147,0.000000109,2.42E-08,0.00000132,0.0000136,0,0.000000112,0.00000212,0,0,7.77E-08,0.0000109,0,0,0.000000032,0,0,0,0,8.27E-08,7.87E-08,0,0,0,0
